Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
The Way,2010,PG-13,19 Nov 2010,123 min,"Comedy, Drama",Emilio Estevez,"Emilio Estevez, Jack Hitt","Martin Sheen, Emilio Estevez, Deborah Kara Unger","A father heads overseas to recover the body of his estranged son who died while traveling the ""El camino de Santiago,"" and decides to take the pilgrimage himself.","English, Spanish, French, Catalan, Italian","Spain, United States",https://m.media-amazon.com/images/M/MV5BMTU4MzM4NzkyOF5BMl5BanBnXkFtZTcwMjQwNjMzNg@@._V1_SX300.jpg,,,,,
Buck,2011,PG,16 Feb 2012,88 min,Documentary,Cindy Meehl,N/A,"Buck Brannaman, Gary Myers, Bibb Frazier","An examination of the life of acclaimed 'horse whisperer' Buck Brannaman, who recovered from years of child abuse to become a well-known expert in the interactions between horses and people.",English,United States,https://m.media-amazon.com/images/M/MV5BMTc2NDgxNDkyMl5BMl5BanBnXkFtZTcwODIxOTMxNQ@@._V1_SX300.jpg,,,,,
Tinker Tailor Soldier Spy,2011,R,06 Jan 2012,127 min,"Drama, Mystery, Thriller",Tomas Alfredson,"John le Carré, Bridget O'Connor, Peter Straughan","Gary Oldman, Colin Firth, Tom Hardy","In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6.","English, Russian, Hungarian, French, Turkish","United Kingdom, France, Germany, United States",https://m.media-amazon.com/images/M/MV5BMTU2OTkwNzMyM15BMl5BanBnXkFtZTcwOTI4ODg2Ng@@._V1_SX300.jpg,,,,,
Of Gods and Men,2010,PG-13,25 Mar 2011,122 min,"Drama, History",Xavier Beauvois,"Xavier Beauvois, Etienne Comar","Lambert Wilson, Michael Lonsdale, Olivier Rabourdin","Under threat by fundamentalist terrorists, a group of Trappist monks stationed with an impoverished Algerian community must decide whether to leave or stay.","French, Arabic",France,https://m.media-amazon.com/images/M/MV5BMTI5OTE1MDU0MV5BMl5BanBnXkFtZTcwNjE3NjkzNA@@._V1_SX300.jpg,,,,,
The Social Network,2010,PG-13,01 Oct 2010,120 min,"Biography, Drama",David Fincher,"Aaron Sorkin, Ben Mezrich","Jesse Eisenberg, Andrew Garfield, Justin Timberlake","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","English, French",United States,https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,,,,
Starbuck,2011,R,03 May 2012,109 min,"Comedy, Drama, Romance",Ken Scott,"Ken Scott, Martin Petit","Patrick Huard, Julie LeBreton, Antoine Bertrand","As his lover announces her pregnancy, a fortysomething slacker receives other life-changing news: 142 people, all of them the result of artificial insemination, have filed a class action lawsuit against him, their biological father.","French, Spanish",Canada,https://m.media-amazon.com/images/M/MV5BMjMyMDczMzU1OV5BMl5BanBnXkFtZTcwMzMwNzk1OA@@._V1_SX300.jpg,,,,,
Like Crazy,2011,PG-13,27 Jan 2012,86 min,"Drama, Romance",Drake Doremus,"Drake Doremus, Ben York Jones","Felicity Jones, Anton Yelchin, Jennifer Lawrence","A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",English,United States,https://m.media-amazon.com/images/M/MV5BMjAzOTgyOTU4OF5BMl5BanBnXkFtZTcwNDYxMjcxNg@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Don 2,2011,Not Rated,23 Dec 2011,148 min,"Action, Crime, Thriller",Farhan Akhtar,"Farhan Akhtar, Javed Akhtar, Salim Khan","Shah Rukh Khan, Florian Lukas, Om Puri","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.","Hindi, English, German","India, Germany",https://m.media-amazon.com/images/M/MV5BMzNiYWYxNWYtZDYzMC00MzA0LTkzY2UtNDAwNDhiYmVjNmEwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,,,,,
Zindagi Na Milegi Dobara,2011,Not Rated,15 Jul 2011,155 min,"Comedy, Drama, Musical",Zoya Akhtar,"Farhan Akhtar, Reema Kagti, Zoya Akhtar","Hrithik Roshan, Farhan Akhtar, Abhay Deol",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,"Hindi, English, Spanish",India,https://m.media-amazon.com/images/M/MV5BZGFmMjM5OWMtZTRiNC00ODhlLThlYTItYTcyZDMyYmMyYjFjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,,,,,
The Skin I Live In,2011,R,02 Sep 2011,120 min,"Drama, Horror, Mystery",Pedro Almodóvar,"Pedro Almodóvar, Agustín Almodóvar, Thierry Jonquet","Antonio Banderas, Elena Anaya, Jan Cornet","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Spanish,"Spain, United States",https://m.media-amazon.com/images/M/MV5BMjMwOTYyNDY4NV5BMl5BanBnXkFtZTcwNDI1ODk0Ng@@._V1_SX300.jpg,,,,,
Another Year,2010,PG-13,04 Feb 2011,129 min,"Comedy, Drama",Mike Leigh,Mike Leigh,"Jim Broadbent, Ruth Sheen, Lesley Manville",A look at four seasons in the lives of a happily married couple and their relationships with their family and friends.,English,N/A,https://m.media-amazon.com/images/M/MV5BY2I0YTFmNzQtZjM1NC00MmI0LTk5ZTAtMjA2MmM5YTZhOTZiXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,,,,,
From Prada to Nada,2011,PG-13,28 Jan 2011,107 min,"Action, Comedy, Drama",Angel Gracia,"Fina Torres, Luis Alfaro, Craig Fernandez","Camilla Belle, Alexa PenaVega, Kuno Becker","A Latina spin on Jane Austen's ""Sense and Sensibility"": two spoiled sisters who have been left penniless after their father's sudden death are forced to move in with their estranged aunt in East Los Angeles.","English, Spanish","Mexico, United States",https://m.media-amazon.com/images/M/MV5BMTY2NDAxNjgwMF5BMl5BanBnXkFtZTcwNDc3NzQxNA@@._V1_SX300.jpg,,,,,
Martha Marcy May Marlene,2011,R,21 Dec 2011,102 min,"Drama, Mystery, Thriller",Sean Durkin,Sean Durkin,"Elizabeth Olsen, Sarah Paulson, John Hawkes","Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",English,United States,https://m.media-amazon.com/images/M/MV5BMTc1MTYwMzg1N15BMl5BanBnXkFtZTcwNzM0MDY4Ng@@._V1_SX300.jpg,,,,,
The Way Back,2010,PG-13,21 Jan 2011,133 min,"Adventure, Drama, History",Peter Weir,"Slavomir Rawicz, Peter Weir, Keith R. Clarke","Jim Sturgess, Ed Harris, Colin Farrell",Siberian gulag escapees travel four thousand miles by foot to freedom in India.,"English, Russian, Polish, Tibetan, Mongolian","United States, United Arab Emirates, Poland, India",https://m.media-amazon.com/images/M/MV5BMTg5MTc5MTM3Ml5BMl5BanBnXkFtZTcwMDI2NzgwNA@@._V1_SX300.jpg,,,,,
Everything Must Go,2010,R,14 Oct 2011,97 min,Drama,Dan Rush,"Dan Rush, Raymond Carver","Will Ferrell, Rebecca Hall, Christopher Jordan Wallace","When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",English,United States,https://m.media-amazon.com/images/M/MV5BMjEwMjI0NjU2NF5BMl5BanBnXkFtZTcwMDk5Mjc4NA@@._V1_SX300.jpg,,,,,
Bucky Larson: Born to Be a Star,2011,R,09 Sep 2011,97 min,Comedy,Tom Brady,"Adam Sandler, Allen Covert, Nick Swardson","Nick Swardson, Don Johnson, Christina Ricci","A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps, and become a porn star.",English,United States,https://m.media-amazon.com/images/M/MV5BMjIzMjY4MTk2M15BMl5BanBnXkFtZTcwNzQ3ODg3NQ@@._V1_SX300.jpg,,,,,
Melancholia,2011,R,26 May 2011,135 min,"Drama, Sci-Fi",Lars von Trier,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland",Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,English,"Denmark, Sweden, France, Germany",https://m.media-amazon.com/images/M/MV5BMTk4NjM0MjI3MV5BMl5BanBnXkFtZTcwNjcxMDYzNg@@._V1_SX300.jpg,,,,,
Ra.One,2011,Not Rated,26 Oct 2011,156 min,"Action, Adventure, Sci-Fi","Anubhav Sinha, Bazin Bs","David Benullo, Kanika Dhillon, Niranjan Iyengar","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.","Tamil, Hindi","India, United States",https://m.media-amazon.com/images/M/MV5BMTNkNmVmOTItNzlmNi00MjE5LWE2YzEtNzBlOTNiNmE0OTUzXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg,,,,,
The Grace Card,2010,PG-13,25 Feb 2011,101 min,Drama,David G. Evans,Howard Klausner,"Michael Joiner, Michael Higgenbottom, Louis Gossett Jr.","Everything can change in an instant, and take a lifetime to unravel. Every day, we have the opportunity to rebuild relationships by extending and receiving God's grace. Offer The Grace Card, and never underestimate the power of Go...",English,United States,https://m.media-amazon.com/images/M/MV5BNTI4NjgzMjE0OF5BMl5BanBnXkFtZTcwNzMwMjIzNA@@._V1_SX300.jpg,,,,,
Space Station 76,2014,R,08 Mar 2014,93 min,"Comedy, Drama, Sci-Fi",Jack Plotnick,"Jennifer Elise Cox, Sam Pancake, Jack Plotnick","Patrick Wilson, Liv Tyler, Marisa Coughlan","A 1970s version of the future, where personalities and asteroids collide.",English,United States,https://m.media-amazon.com/images/M/MV5BMTcxNzkzNzg1N15BMl5BanBnXkFtZTgwMjIwMDgyMjE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
The Illusionist,2006,PG-13,01 Sep 2006,110 min,"Drama, Fantasy, Mystery",Neil Burger,"Neil Burger, Steven Millhauser","Edward Norton, Jessica Biel, Paul Giamatti","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",English,"United States, Czech Republic",https://m.media-amazon.com/images/M/MV5BY2VkMzZlZDAtNTkzNS00MDIzLWFmOTctMWQwZjQ1OWJiYzQ1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,,,,,
Unstoppable,2010,PG-13,12 Nov 2010,98 min,"Action, Thriller",Tony Scott,Mark Bomback,"Denzel Washington, Chris Pine, Rosario Dawson","With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.",English,United States,https://m.media-amazon.com/images/M/MV5BMjI4NDQwMDM0N15BMl5BanBnXkFtZTcwMzY1ODMwNA@@._V1_SX300.jpg,,,,,
The Trip,2010,Not Rated,24 Apr 2011,112 min,"Comedy, Drama",Michael Winterbottom,N/A,"Steve Coogan, Rob Brydon, Rebecca Johnson","Steve Coogan has been asked by The Observer to tour the country's finest restaurants, but after his girlfriend backs out on him he must take his best friend and source of eternal aggravation, Rob Brydon.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BNDEzMTM1OTM4M15BMl5BanBnXkFtZTcwMTE3MDcxNQ@@._V1_SX300.jpg,,,,,
Shame,2011,NC-17,13 Jan 2012,101 min,Drama,Steve McQueen,"Steve McQueen, Abi Morgan","Michael Fassbender, Carey Mulligan, James Badge Dale",A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.,English,"United Kingdom, Canada, United States",https://m.media-amazon.com/images/M/MV5BOGU4Mjc0ZWMtNGQ0OS00ZWQ4LThkNDUtOTE1Y2EzYjgzMDU5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
The Mighty Macs,2009,G,21 Oct 2011,99 min,"Drama, Sport",Tim Chambers,"Tim Chambers, Anthony Gargano","Carla Gugino, Marley Shelton, Ellen Burstyn","In the early 70s, Cathy Rush becomes the head basketball coach at a tiny, all-girls Catholic college. Though her team has no gym and no uniforms -- and the school itself is in danger of being sold -- Coach Rush looks to steer her ...",English,United States,https://m.media-amazon.com/images/M/MV5BMTkxMzAxNzIyNl5BMl5BanBnXkFtZTcwNTA2NjI4Ng@@._V1_SX300.jpg,,,,,
Gerry,2002,R,20 Sep 2002,103 min,"Adventure, Drama, Mystery",Gus Van Sant,"Casey Affleck, Matt Damon, Gus Van Sant","Casey Affleck, Matt Damon",A friendship between two young men is tested when they go for a hike in a desert and forget to bring any water or food with them.,English,"United States, Argentina",https://m.media-amazon.com/images/M/MV5BOTg5ZDRlZjItODNmMy00MDI0LWIwOGYtZjA1ODEyN2U1ZTkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Bodyguard,2018,TV-MA,24 Oct 2018,60 min,"Crime, Drama, Thriller",N/A,Jed Mercurio,"Richard Madden, Sophie Rundle, Vincent Franklin",A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BOTQ2YmU5YWYtYTdhMS00YjdmLThlMWMtMWVkZGVmNTVhOWE0XkEyXkFqcGdeQXVyODEyMzI2OTE@._V1_SX300.jpg,N/A,,,,
Rabbit Hole,2010,PG-13,28 Jan 2011,91 min,Drama,John Cameron Mitchell,David Lindsay-Abaire,"Nicole Kidman, Aaron Eckhart, Dianne Wiest",Life for a happy couple is turned upside down after their young son dies in an accident.,English,United States,https://m.media-amazon.com/images/M/MV5BMjEzOTU0NjMxNF5BMl5BanBnXkFtZTcwNzc5MDUxNA@@._V1_SX300.jpg,,,,,
A Better Life,2011,PG-13,28 Jul 2011,98 min,"Drama, Romance",Chris Weitz,"Eric Eason, Roger L. Simon","Demián Bichir, José Julián, Eddie 'Piolin' Sotelo",A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while trying to give his son the opportunities he never had.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTUyODMxODYwMV5BMl5BanBnXkFtZTcwMTg4MTU1NA@@._V1_SX300.jpg,,,,,
Burlesque,2010,PG-13,24 Nov 2010,119 min,"Drama, Music, Musical",Steve Antin,Steve Antin,"Cher, Christina Aguilera, Alan Cumming",A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,"English, Ukrainian",United States,https://m.media-amazon.com/images/M/MV5BMjM1ZmI4NmUtMDJmMC00N2NkLTg1NGYtMDUyZDZlMmExNGNiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,,,,,
Take Shelter,2011,R,10 Nov 2011,120 min,"Drama, Horror, Sci-Fi",Jeff Nichols,Jeff Nichols,"Michael Shannon, Jessica Chastain, Shea Whigham","Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.",English,United States,https://m.media-amazon.com/images/M/MV5BNzgzODA5MTU3MF5BMl5BanBnXkFtZTcwODY4MDEwNg@@._V1_SX300.jpg,,,,,
Potiche,2010,R,15 Apr 2011,103 min,Comedy,François Ozon,"François Ozon, Pierre Barillet, Jean-Pierre Grédy","Catherine Deneuve, Gérard Depardieu, Fabrice Luchini","A housewife and grandma takes over the family business 1977, after her husband is hurt during a strike.",French,France,https://m.media-amazon.com/images/M/MV5BMTQ0OTIyMTQzOV5BMl5BanBnXkFtZTcwODQ5MDA1NA@@._V1_SX300.jpg,,,,,
Senna,2010,PG-13,25 May 2011,106 min,"Documentary, Biography, Sport",Asif Kapadia,Manish Pandey,"Ayrton Senna, Reginaldo Leme, John Bisignano","A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.","English, Portuguese, French, Japanese","United Kingdom, France, United States",https://m.media-amazon.com/images/M/MV5BMTc5MTUzOTAxMl5BMl5BanBnXkFtZTcwODQzMjg3NA@@._V1_SX300.jpg,,,,,
I Am,2010,Not Rated,01 Feb 2011,78 min,Documentary,Tom Shadyac,N/A,"Tom Shadyac, Desmond Tutu, Noam Chomsky",Director Tom Shadyac speaks with intellectual and spiritual leaders about what's wrong with our world and how we can improve both it and the way we live in it.,English,United States,https://m.media-amazon.com/images/M/MV5BMTMyNTI4ODAyOV5BMl5BanBnXkFtZTcwMTk0NDQyNA@@._V1_SX300.jpg,,,,,
A Dangerous Method,2011,R,10 Nov 2011,99 min,"Biography, Drama, Romance",David Cronenberg,"Christopher Hampton, John Kerr","Michael Fassbender, Keira Knightley, Viggo Mortensen",A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,English,"United Kingdom, Germany, Canada, United States",https://m.media-amazon.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_SX300.jpg,,,,,
Café de Flore,2011,Not Rated,18 Nov 2011,120 min,"Drama, Romance",Jean-Marc Vallée,Jean-Marc Vallée,"Vanessa Paradis, Kevin Parent, Hélène Florent",A love story between a man and woman. And between a mother and her son. A mystical and fantastical odyssey on love.,"French, English","Canada, France",https://m.media-amazon.com/images/M/MV5BMTgyOTExNzM1Ml5BMl5BanBnXkFtZTcwMDExMzY2Ng@@._V1_SX300.jpg,,,,,
Monsieur Lazhar,2011,PG-13,07 Mar 2012,95 min,"Comedy, Drama",Philippe Falardeau,"Philippe Falardeau, Evelyne de la Chenelière","Mohamed Fellag, Sophie Nélisse, Émilien Néron","At a Montréal public grade school, an Algerian immigrant is hired to replace a popular teacher who committed suicide in her classroom. While helping his students deal with their grief, his own recent loss is revealed.","French, English, Arabic",Canada,https://m.media-amazon.com/images/M/MV5BNjM0NTYyNTkwNF5BMl5BanBnXkFtZTcwMzQwOTUzNw@@._V1_SX300.jpg,,,,,
Delhi Belly,2011,Not Rated,01 Jul 2011,103 min,"Action, Comedy, Crime","Abhinay Deo, Akshat Verma","Mr. Moris, Akshat Verma","Imran Khan, Vir Das, Kunaal Roy Kapur",Three struggling room-mates unknowingly become potential prey of a ruthless gangster.,"English, Hindi",India,https://m.media-amazon.com/images/M/MV5BZjJmOTNjNDgtY2E3ZC00OTRmLTlmYWItNjRkMzQ4NzZlY2M2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
The Double Hour,2009,Not Rated,09 Oct 2009,95 min,"Crime, Drama, Mystery",Giuseppe Capotondi,"Alessandro Fabbri, Ludovica Rampoldi, Stefano Sardo","Kseniya Rappoport, Filippo Timi, Antonia Truppo",A chambermaid and an ex-cop meet at a speed dating event and a romance develops. But during a romantic getaway things suddenly take a dark turn.,"Italian, Spanish",Italy,https://m.media-amazon.com/images/M/MV5BMTkyMDU5MTM2OV5BMl5BanBnXkFtZTcwNzc5NTQ0NA@@._V1_SX300.jpg,,,,,
Bill Cunningham: New York,2010,Not Rated,16 Mar 2011,84 min,"Documentary, Biography, History",Richard Press,N/A,"Bill Cunningham, Anna Wintour, Michael Kors",A profile of the noted and extraordinarily cheerful veteran New York City fashion photographer.,"English, French",United States,https://m.media-amazon.com/images/M/MV5BMTYwMjg3MTk3M15BMl5BanBnXkFtZTcwMjM4NjgzNA@@._V1_SX300.jpg,,,,,
Breakaway,2011,PG-13,23 Sep 2011,101 min,"Comedy, Drama, Sport",Robert Lieberman,"Vinay Virmani, Noel S. Baker, Jeff Schechter","Vinay Virmani, Camilla Belle, Russell Peters",An ethnic Canadian hockey player struggles against traditional family values and discrimination from mainstream hockey players.,"English, Hindi, Punjabi","Canada, India, United States",https://m.media-amazon.com/images/M/MV5BMTUxOTIxNTI3NF5BMl5BanBnXkFtZTcwOTI4NjgwNg@@._V1_SX300.jpg,,,,,
The Art of Getting By,2011,PG-13,17 Jun 2011,83 min,"Drama, Romance",Gavin Wiesen,Gavin Wiesen,"Freddie Highmore, Emma Roberts, Michael Angarano","George, a lonely and fatalistic teen who has made it all the way to his senior year without ever having done a real day of work, is befriended by Sally, a popular but complicated girl who recognizes in him a kindred spirit.",English,United States,https://m.media-amazon.com/images/M/MV5BNDg3NzE5MjU3MV5BMl5BanBnXkFtZTcwNjY1NTgxNQ@@._V1_SX300.jpg,,,,,
