Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
Carnage,2011,R,18 Nov 2011,80 min,"Comedy, Drama",Roman Polanski,"Yasmina Reza, Michael Katims, Roman Polanski","Jodie Foster, Kate Winslet, Christoph Waltz","Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.",English,"France, Germany, Poland, Spain, United States",https://m.media-amazon.com/images/M/MV5BMTc4MjAyMDUwNl5BMl5BanBnXkFtZTcwOTQwMDMwNw@@._V1_SX300.jpg,,,,,
Small Voices,2008,N/A,24 Oct 2008,N/A,Short,Sofian Khan,Sofian Khan,"Navaid Jabbar, Ovais Jabbar, Sonia Rehman","Based on actual events, Small Voices recounts the story of Alam, a Pakistani boy abducted by human traffickers, and his struggle to survive through years of captivity far from home.","Urdu, English",United States,https://m.media-amazon.com/images/M/MV5BMjE2MTA1OTIzMF5BMl5BanBnXkFtZTcwNjE5NjU1Mg@@._V1_SX300.jpg,,,,,
Boys Life 4: Four Play,2003,N/A,01 Aug 2003,83 min,"Comedy, Drama","Phillip J. Bartell, Alan Brown, Eric Mueller","Phillip J. Bartell, Alan Brown, Andrew Peterson","Craig Chester, Brent Doyle, Jay Gillespie",Four gay shorts are rolled into one 83-minute movie.,English,United States,https://m.media-amazon.com/images/M/MV5BMTg5NjYyMDMwM15BMl5BanBnXkFtZTcwOTQyNDYyMQ@@._V1_SX300.jpg,,,,,
A Family Affair,1937,Passed,12 Mar 1937,69 min,"Comedy, Drama, Family",George B. Seitz,"Aurania Rouverol, Kay Van Riper","Lionel Barrymore, Cecilia Parker, Eric Linden","Judge Hardy faces problems at work and at home. Powerful men in town are upset with his decisions and want to see him impeached; his daughters, Joan and Marion, have romantic problems; and his son Andy discovers Polly Benedict. As...",English,United States,https://m.media-amazon.com/images/M/MV5BZTI5NzdiZTMtNjcwZS00YmI4LWFhY2MtMzVjYzMzYjMwNmEwXkEyXkFqcGdeQXVyMTIxOTk5MzY@._V1_SX300.jpg,,,,,
Zus & Zo,2001,Unrated,08 May 2002,106 min,"Comedy, Fantasy, Romance",Paula van der Oest,Paula van der Oest,"Sylvia Poorta, Anneke Blok, Monic Hendrickx","Zus &amp; Zo shows what three sisters are willing to do to stop their would-be sister-in-law from coming into possession of Paraíso, their beloved family summer home on the Portuguese coast.","Dutch, English, French, Portuguese",Netherlands,https://m.media-amazon.com/images/M/MV5BMTIxMjQxMzExNl5BMl5BanBnXkFtZTcwMDAyMTcxMQ@@._V1_SX300.jpg,,,,,
La confusion des genres,2000,N/A,27 Dec 2000,94 min,"Comedy, Romance, Drama",Ilan Duran Cohen,"Ilan Duran Cohen, Philippe Lasry","Pascal Greggory, Nathalie Richard, Julie Gayet","No wonder Bisexual Attorney Alain is confused. He's bedding his female boss, his guilty of murder client, the client's hairdresser girlfriend and a precocious boy who knows what he wants and tries to convince Alain that 'he can ha...",French,France,https://m.media-amazon.com/images/M/MV5BMTExNTQ5Nzk3MjheQTJeQWpwZ15BbWU3MDA4NDI0MjE@._V1_SX300.jpg,,,,,
Komediant,1984,N/A,N/A,90 min,Drama,Otakar Vávra,"Milos Václav Kratochvíl, Otakar Vávra","Oldrich Kaiser, Martin Ruzek, Jana Hlavácová","Saxony, devastated by the Thirty Years' War, is led by the comedy troupe of the principal Fortunato. The student Vavrinec has fled Bohemia and greatly values the text of Shakespeare's tragedy Romeo and Juliet, which he has acquire...",Czech,Czechoslovakia,https://m.media-amazon.com/images/M/MV5BZWIwZTNjYzEtYTBkOS00YjAxLWJiMTAtYmNjMjMzZjdmYjM3XkEyXkFqcGdeQXVyMjIxMzMyMQ@@._V1_SX300.jpg,,,,,
Ikiru,1952,Not Rated,25 Mar 1956,143 min,Drama,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Japanese,Japan,https://m.media-amazon.com/images/M/MV5BZTcyYmQ2NDMtNWI1NS00MTNiLTk0NDctNWMwNWExYTNlYzk3XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,,,,,
Love the Hard Way,2001,R,27 Mar 2003,104 min,"Drama, Crime, Romance",Peter Sehr,"Shuo Wang, Peter Sehr, Marie Noëlle","Adrien Brody, Charlotte Ayanna, Jon Seda",The story of a petty thief who meets an innocent young woman and brings her into his world of crime while she teaches him the lessons of enjoying life and being loved.,"English, Spanish, German, French, Russian","Germany, United States",https://m.media-amazon.com/images/M/MV5BMjEzOTU0OTUzMl5BMl5BanBnXkFtZTcwNDM3MTAwMQ@@._V1_SX300.jpg,,,,,
Fat Girl,2001,Not Rated,07 Mar 2001,86 min,Drama,Catherine Breillat,Catherine Breillat,"Anaïs Reboux, Roxane Mesquida, Libero De Rienzo",Two sisters confront their sexual attitudes and experiences while on a family holiday.,"French, Italian, English","France, Italy",https://m.media-amazon.com/images/M/MV5BODlhOWRmN2YtNTUzNS00NGFjLTlkNzAtMjk1NzFjZjU3N2ZhXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_SX300.jpg,,,,,
Moonlight Mile,2002,PG-13,04 Oct 2002,117 min,"Drama, Romance",Brad Silberling,Brad Silberling,"Jake Gyllenhaal, Dustin Hoffman, Susan Sarandon","As he copes with the death of his fiancée, a young man befriends her parents and must figure out what he wants out of life.","English, Hebrew",United States,https://m.media-amazon.com/images/M/MV5BMTY5MTA1MTgyMV5BMl5BanBnXkFtZTYwNzE5NDg3._V1_SX300.jpg,,,,,
Fidel,2002,N/A,27 Jan 2002,206 min,"Biography, Drama",David Attwood,"Stephen Tolkin, Georgie Anne Geyer, Robert E. Quirk","Víctor Huggo Martin, Gael García Bernal, Patricia Velasquez",Fidel Castro rises to power in Cuba.,English,"United States, Mexico",https://m.media-amazon.com/images/M/MV5BMjE5MTEyMDAwMF5BMl5BanBnXkFtZTcwOTMxNTEyMQ@@._V1_SX300.jpg,,,,,
Derrida,2002,Not Rated,31 Jan 2003,84 min,Documentary,"Kirby Dick, Amy Ziering",N/A,"Jacques Derrida, Marguerite Derrida, René Major","Documentary about French philosopher (and author of deconstructionism) Jacques Derrida, who sparked fierce debate throughout American academia.","English, French",United States,https://m.media-amazon.com/images/M/MV5BMzMyOTQ0NjgyMl5BMl5BanBnXkFtZTcwMjY0NTQyMQ@@._V1_SX300.jpg,,,,,
Food of Love,2002,R,08 Feb 2002,112 min,"Drama, Music, Romance",Ventura Pons,"David Leavitt, Ventura Pons","Paul Rhys, Kevin Bishop, Juliet Stevenson","Paul, a handsome and talented music student is employed as the page-turner at one of the world famous pianist Kennington's concerts in San Francisco.",English,"Spain, Germany",https://m.media-amazon.com/images/M/MV5BNTZiNTE3MzEtZDMwZi00M2ViLWE2OTEtYjZlOGM3NTM4NDA4XkEyXkFqcGdeQXVyMzMwMjI2NA@@._V1_SX300.jpg,,,,,
Balthazar,2018–2023,TV-14,20 Nov 2018,52 min,"Crime, Thriller",N/A,"Clélia Constantine, Clothilde Jamin","Tomer Sisley, Yannig Samot, Philypa Phoenix","Facing a series of complex murder cases, new police commander Hélène Bach must learn to work with the brilliant yet exasperating Raphaël, who can make the dead speak like no-one else.",French,France,https://m.media-amazon.com/images/M/MV5BZTViODRiZjItZDdiNy00NTM4LTk4MzYtOTA2YWFkZGFmNzAyXkEyXkFqcGdeQXVyMzE2ODIxNA@@._V1_SX300.jpg,,4,,,
Roger Dodger,2002,R,22 Nov 2002,106 min,"Comedy, Drama",Dylan Kidd,Dylan Kidd,"Campbell Scott, Jesse Eisenberg, Isabella Rossellini","After breaking up with his lover and boss, a smooth-talking man takes his teenaged nephew out on the town in search of sex.","English, German",United States,https://m.media-amazon.com/images/M/MV5BNTRiMTNlMmMtNGIwNy00NmEyLWIxYWYtMDIyYmYxZTI1NjdkXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,,,,,
This Thing of Ours,2002,Not Rated,N/A,100 min,"Crime, Drama",Danny Provenzano,"Ted A. Bohus, Danny Provenzano","Frank Vincent, Vincent Pastore, Louis Vanaria","Using the Internet and global satellites, a group of gangsters pull off the biggest bank heist in the Mafia's history.",English,United States,https://m.media-amazon.com/images/M/MV5BMTM5NzE3ODc0N15BMl5BanBnXkFtZTcwMTU3NjQzMQ@@._V1_SX300.jpg,,,,,
Secret Lives,1999–,N/A,25 Jan 1999,21 min,Drama,N/A,N/A,"Esko Kovero, Timo Jurkka, Jarmo Koski","The series' storylines follow the daily lives of several families who live in the same apartment block in Helsinki, Finland. During the series' 22-year run, over 4,000 episodes have been aired, making it the second-longest-running...",Finnish,Finland,https://m.media-amazon.com/images/M/MV5BNTAyZjE1OWYtOTQ3YS00YWM4LWI3ZTQtZmNjN2M2NjI1MGJkXkEyXkFqcGdeQXVyMjI0MjMwMzQ@._V1_SX300.jpg,,1,,,
Out of Control,1984,R,15 May 1985,78 min,"Action, Drama",Allan Holzman,"Sandra Weintraub, Vicangelo Bulluck, Daniel Grodnik","Martin Hewitt, Betsy Russell, Claudia Udy","Upon graduation from high school eight teens take a seaplane trip, intending to celebrate on Keith's parents' private island. Stormy weather causes the plane to crash and they end up on a deserted isle. They find evidence of other...",English,"Yugoslavia, United States",https://m.media-amazon.com/images/M/MV5BZTg5OTQ4OTctZTdhZC00ZmQyLWIxMGYtM2M3ZjE5ZDZlYmE4XkEyXkFqcGdeQXVyMTI2OTM0NzQ@._V1_SX300.jpg,,,,,
The Bank,2001,Not Rated,06 Sep 2001,104 min,"Drama, Romance, Thriller",Robert Connolly,"Brian Price, Mike Betar, Robert Connolly","David Wenham, Anthony LaPaglia, Sibylla Budd","The Bank is a thriller about banking, corruption and alchemy.","English, Japanese",Australia,https://m.media-amazon.com/images/M/MV5BMTkwMjU4NTM3Ml5BMl5BanBnXkFtZTcwODU4NDEzMQ@@._V1_SX300.jpg,,,,,
My Flesh and Blood,2003,Unrated,17 Jan 2003,83 min,Documentary,Jonathan Karsh,N/A,"Susan Tom, Anthony Tom, Faith Tom","Documentary following Susan Tom of Fairfield, California and her 11 adopted special needs children.",English,United States,https://m.media-amazon.com/images/M/MV5BMTMyNjM0MTU2Nl5BMl5BanBnXkFtZTcwMjk0MjEzMQ@@._V1_SX300.jpg,,,,,
Friends and Family,2001,Not Rated,17 Jun 2004,87 min,"Comedy, Crime",Kristen Coury,Joseph Triebwasser,"Greg Lauren, Chris Gartin, Rebecca Creskoff",A gay couple are hit men for the mafia.,"English, Italian",United States,https://m.media-amazon.com/images/M/MV5BMTkzODQ0ODgzMF5BMl5BanBnXkFtZTcwODEyMTAwMQ@@._V1_SX300.jpg,,,,,
A Decade Under the Influence,2003,R,19 Jan 2003,138 min,Documentary,"Ted Demme, Richard LaGravenese",N/A,"Francis Ford Coppola, William Friedkin, Robert Altman",A documentary examining the decade of the 1970s as a turning point in American cinema. Some of today's best filmmakers interview the influential directors of that time.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQ3OTEyMDExNV5BMl5BanBnXkFtZTcwMDA0MzAwMQ@@._V1_SX300.jpg,,,,,
The Man from Elysian Fields,2001,R,28 Nov 2002,106 min,"Drama, Romance",George Hickenlooper,Phillip Jayson Lasker,"Andy Garcia, Mick Jagger, Julianna Margulies",A failed novelist's inability to pay the bills strains relations with his wife and leads him to work at an escort service where he becomes entwined with a wealthy woman whose husband is a successful writer.,English,United States,https://m.media-amazon.com/images/M/MV5BZmM4ZTE1M2QtZWY3My00MDFjLTg2OTktOWRlYzExYzkwYjAwXkEyXkFqcGdeQXVyNjM1NzYzMDk@._V1_SX300.jpg,,,,,
Japanese Story,2003,R,25 Sep 2003,110 min,"Drama, Romance",Sue Brooks,Alison Tilson,"Toni Collette, Gotaro Tsunashima, Lynette Curran","Against the background of an Australian desert, Sandy, a geologist, and Hiromitsu, a Japanese businessman, play out a story of human inconsequence in the face of the blistering universe. The end of the journey leaves no one capabl...","English, Japanese",Australia,https://m.media-amazon.com/images/M/MV5BODI3MWUwY2UtZGRhNi00ODU3LWI0OTYtY2Y4NTNlYTRiZjU1XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,,,,
Fanfan la Tulipe,1952,Not Rated,04 May 1953,102 min,"Adventure, Comedy, Romance",Christian-Jaque,"René Wheeler, René Fallet, Christian-Jaque","Gérard Philipe, Gina Lollobrigida, Marcel Herrand",Swashbuckling adventures of young army recruit Fanfan la Tulipe during the reign of King Louis XV in 18th Century France.,French,"Italy, France",https://m.media-amazon.com/images/M/MV5BMmJjYzk4MjAtNWIzMS00Y2U1LWE3NjEtZTRhZmYzYTg4ZDJhL2ltYWdlXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,,,,,
All or Nothing,2002,R,18 Oct 2002,128 min,Drama,Mike Leigh,Mike Leigh,"Timothy Spall, Lesley Manville, Ruth Sheen","In a poor working class London home, Penny's love for her partner, taxi driver Phil, has run dry. When an unexpected tragedy occurs, they and their local community are brought back together.","English, Arabic, French","United Kingdom, France",https://m.media-amazon.com/images/M/MV5BMjQ3NzM1NjA0NF5BMl5BanBnXkFtZTcwNjQ4MDQ3NA@@._V1_SX300.jpg,,,,,
Sans Soleil,1983,Not Rated,02 Mar 1983,100 min,"Documentary, Drama",Chris Marker,Chris Marker,"Amilcar Cabral, Florence Delay, Arielle Dombasle","A woman narrates the contemplative writings of a seasoned world traveler, focusing on contemporary Japan.","French, Japanese, English, Cantonese, Japanese Sign ",France,https://m.media-amazon.com/images/M/MV5BMjc4MzliNDQtYjc2Mi00Y2UxLTk2ZTctOGIzMmY3YjFmN2UyXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,,,,,
Girlhood,2014,Unrated,22 Oct 2014,113 min,Drama,Céline Sciamma,Céline Sciamma,"Karidja Touré, Assa Sylla, Lindsay Karamoh","A girl with few real prospects joins a gang, reinventing herself and gaining a sense of self confidence in the process. However, she soon finds that this new life does not necessarily make her any happier.",French,France,https://m.media-amazon.com/images/M/MV5BMjA5MDM1ODE5NV5BMl5BanBnXkFtZTgwNjg0MTk5MzE@._V1_SX300.jpg,,,,,
Hotel,2013,N/A,04 Oct 2013,97 min,Drama,Lisa Langseth,Lisa Langseth,"Alicia Vikander, David Dencik, Anna Bjelkerud","Erika has it all: a good job, lots of friends and a secure relationship. Until the day it all falls apart. Suddenly this perfect life means nothing, and the feelings she once was able to control are no longer within reach. She sta...",Swedish,"Sweden, Denmark",https://m.media-amazon.com/images/M/MV5BMTc3OTYzMjU2N15BMl5BanBnXkFtZTgwNDU0MzUxMDE@._V1_SX300.jpg,,,,,
Teknolust,2002,R,26 Oct 2010,85 min,"Comedy, Drama, Romance",Lynn Hershman-Leeson,Lynn Hershman-Leeson,"Tilda Swinton, Jeremy Davies, James Urbaniak","Tilda Swinton plays four roles in this award-winning film about Rosetta Stone and her three Self-Replicating Automatons, which she cloned from her own D.N.A.",English,"United Kingdom, Germany, United States",https://m.media-amazon.com/images/M/MV5BMzI0MTA3OTQtYmJlYi00MWU2LTgyZGQtYzNjYjY4ZWE0NmEyXkEyXkFqcGdeQXVyODgwNjY1NjY@._V1_SX300.jpg,,,,,
Under the Skin of the City,2001,N/A,25 May 2005,92 min,Drama,Rakhshan Banietemad,"Rakhshan Banietemad, Farid Mostafavi","Golab Adineh, Mohammad Reza Forutan, Baran Kosari","A valuable visual commentary on modern society, 'Under The Skin Of The City' follows one Iranian family in their eternal struggle to stay afloat financially and emotionally. Touba works hard at a textile factory to make ends meet ...",Persian,Iran,https://m.media-amazon.com/images/M/MV5BMTk1Mzg1NjUyN15BMl5BanBnXkFtZTYwNDc0NTk5._V1_SX300.jpg,,,,,
What Alice Found,2003,R,28 Oct 2016,96 min,"Crime, Drama",A. Dean Bell,A. Dean Bell,"Emily Grace, Judith Ivey, Bill Raymond",A young woman looking to escape her life is rescued on the highway by a friendly couple in an RV. But as the miles pass the couple's motives come into question and a strange mother/daughter relationship evolves.,English,United States,https://m.media-amazon.com/images/M/MV5BZGU3NTUyNjAtMDhlMC00MzkzLTg4ZGUtMDE1ZTI4MmM4ZTYyXkEyXkFqcGdeQXVyMjM3NTU0NTQ@._V1_SX300.jpg,,,,,
P.S. Your Cat Is Dead!,2002,R,22 Feb 2002,92 min,Comedy,Steve Guttenberg,"Steve Guttenberg, James Kirkwood Jr., Jeff Korn","Steve Guttenberg, Cynthia Watros, Lombardo Boyar","An actor holds a burglar hostage on New Year's Eve, after his girlfriend leaves him and his cat dies.",English,United States,https://m.media-amazon.com/images/M/MV5BOTQ3M2VjMjEtNTg5MC00MDYyLTk4YjMtMzIxZWFjMDE4ZGEzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Snowboarder,2003,N/A,02 Apr 2003,110 min,"Crime, Drama, Sport",Olias Barco,"Olias Barco, Julien Sax, Paolo Rota","Nicolas Duvauchelle, Grégoire Colin, Juliette Goudot","A young snowboarder with talent but no ambition, is introduced to the profession by a professional and Machiavellian snowboarder.",French,"France, Switzerland",https://m.media-amazon.com/images/M/MV5BMjA3NzExMDg2M15BMl5BanBnXkFtZTcwNTA3NDM3Mg@@._V1_SX300.jpg,,,,,
Beyond Vanilla,2001,N/A,16 Sep 2002,92 min,Documentary,Claes Lilja,Claes Lilja,"Mitch Banning, Celeste, Bud Cockerham","Much as the title suggests, Beyond Vanilla explores the kinkier aspects of sex on the other side of vanilla. With interviews, demonstrations and a good dose of how-to instructions, this documentary covers the gamut of fetishes and...",English,United States,https://m.media-amazon.com/images/M/MV5BNzMzMDUzMTg2NV5BMl5BanBnXkFtZTcwNjQ5MzQyMQ@@._V1_SX300.jpg,,,,,
Everybody Says I'm Fine!,2001,Unrated,26 Jul 2002,103 min,"Drama, Fantasy, Romance",Rahul Bose,Rahul Bose,"Rehaan Engineer, Koel Purie, Rahul Bose","A hair stylist, who can read the minds of those whose hair he cuts, decides to act on his gathered information.","English, Hindi",India,https://m.media-amazon.com/images/M/MV5BMTY2Mjk4MjQyN15BMl5BanBnXkFtZTcwMjY2NjY0MQ@@._V1_SX300.jpg,,,,,
Extreme Ops,2002,PG-13,27 Nov 2002,93 min,"Action, Adventure, Thriller",Christian Duguay,"Timothy Scott Bogart, Mark Mullin, Michael Zaidan","Rufus Sewell, Devon Sawa, Bridgette Wilson-Sampras","While filming an advertisement, some extreme sports enthusiasts unwittingly stop a group of terrorists.","English, German, Japanese, Serbo-Croatian","United Kingdom, Germany, Luxembourg",https://m.media-amazon.com/images/M/MV5BZjgwYTFlNDMtMDNlNi00OWFiLTk0YjMtYzMxMzdmNjI3ZDEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
In My Skin,2002,Unrated,04 Dec 2002,93 min,"Drama, Horror",Marina de Van,Marina de Van,"Marina de Van, Laurent Lucas, Léa Drucker",A woman grows increasingly fascinated with her body after suffering a disfiguring accident.,French,France,https://m.media-amazon.com/images/M/MV5BYWUzMDY5MTEtNDlkZC00ZjkwLTllOTAtOWViZWY4Y2NmNzhjXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,,,,,
Bolivia,1999,Unrated,11 Apr 2002,75 min,Drama,Israel Adrián Caetano,"Israel Adrián Caetano, Romina Lanfranchini","Freddy Flores, Rosa Sánchez, Oscar Bertea",A Bolivian immigrant working illegally as a cook in a small restaurant in Buenos Aires suffers abuse and discrimination from its customers.,Spanish,"Argentina, Netherlands",https://m.media-amazon.com/images/M/MV5BMjE2MDk2Mzc3N15BMl5BanBnXkFtZTcwNzQzOTAzMQ@@._V1_SX300.jpg,,,,,
18 ans après,2003,N/A,05 Feb 2003,90 min,"Comedy, Drama, Romance",Coline Serreau,Coline Serreau,"André Dussollier, Michel Boujenah, Roland Giraud","Marie (and her three fathers) are taking A-levels. Marie passes. She spends the summer in the country with her mother Sylvia, who has returned from America with her Californian husband who has two sons. Marie falls in and out of l...","French, English",France,https://m.media-amazon.com/images/M/MV5BY2I2OGFmMjYtNzMzMy00MGZlLWFhYmQtNjY2YzlhOGY0YzJjXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Luster,2002,Unrated,17 Mar 2002,92 min,"Comedy, Drama",Everett Lewis,"Dennis Cooper, Everett Lewis","Justin Herwick, B. Wyatt, Shane Powers","Luster is a refreshingly funny and sexy look at unrequited love. Jackson, a cute, lanky, blue-haired poet who works in a record store, is at the center of Everett Lewis' twisted black LA comedy. He's got a crush on the sexy young ...",English,United States,https://m.media-amazon.com/images/M/MV5BMTY2OTYxNTQ1MV5BMl5BanBnXkFtZTcwODQ2NTAwMQ@@._V1_SX300.jpg,,,,,
On Guard,1997,TV-14,20 Mar 1998,128 min,"Adventure, Drama",Philippe de Broca,"Philippe de Broca, Jean Cosmos, Paul Féval","Daniel Auteuil, Fabrice Luchini, Vincent Perez","The Comte de Gonzague schemes against his cousin, the Duc de Nevers, even though he is the Duke's heir and will inherit his estates. The Count has kept secret the existence of the Duke's bastard, recently born. When the Duke learn...","French, Italian","France, Italy, Germany",https://m.media-amazon.com/images/M/MV5BNTBjY2M0ZjYtYjYxZC00NjhiLWIxZWUtOTc5YTU1NTlmMDNlXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,,,,,
Atanarjuat: The Fast Runner,2001,R,26 Jul 2002,172 min,Drama,Zacharias Kunuk,"Paul Apak Angilirq, Norman Cohn, Zacharias Kunuk","Natar Ungalaaq, Sylvia Ivalu, Peter-Henry Arnatsiaq",The telling of an Inuit legend of an evil spirit causing strife in the community and one warrior's endurance and battle of its menace.,Inuktitut,Canada,https://m.media-amazon.com/images/M/MV5BNmIwMjRiMzgtYjM5NC00MTdlLWI2ZWMtNDQxOTAzZTJmNzMxXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_SX300.jpg,,,,,
